bw,a,d,f 'c,p,Ef ,Ec,Vcf
250,1122.5,449,74.2,0.69,144.0,30.6,100.4
150,697.0,170,20.0,0.62,46.0,46.0,20.5
1000,1000.11,159,40.0,2.44,40.0,29.73,163.0
150,664.56,213,49.0,1.06,32.0,36.1,27.5
200,1040.0,325,44.9,0.7,137.0,69.0,85.0
203,904.0,226,79.6,1.25,40.3,46.1,83.18
229,904.0,226,36.3,1.11,40.3,39.9,73.66
200,992.0,310,35.5,1.37,36.0,42.0,68.5
150,625.0,250,34.0,1.07,100.0,30.0,107.0
160,1148.72,346,43.2,1.1,42.0,30.89,42.7
150,625.0,250,34.9,2.11,94.0,94.0,83.0
200,702.0,260,34.7,1.3,130.0,27.69,62.2
160,1150.5,325,34.1,1.54,42.0,27.45,44.9
229,913.5,225,36.3,1.11,40.3,28.32,38.5
229,913.5,225,36.3,1.66,40.3,28.32,40.0
200,1040.0,325,39.4,0.92,58.0,58.0,107.0
178,904.0,226,36.3,1.42,40.3,39.9,70.06
152,904.0,226,79.6,1.66,40.3,46.1,61.96
150,697.0,170,20.0,1.54,46.0,46.0,28.6
200,750.0,250,35.4,1.61,29.0,31.0,83.0
130,1150.1,310,43.2,1.1,120.0,30.89,52.7
150,735.9,223,42.8,1.28,45.0,30.75,27.2
250,1085.0,310,34.5,0.42,144.0,27.61,58.9
200,990.0,220,30.0,0.33,25.1,25.74,22.5
200,1040.0,325,39.4,0.92,58.0,58.0,78.0
165,896.0,224,79.6,2.1,40.3,46.1,73.3
457,1224.0,360,39.7,0.96,40.5,29.61,108.1
89,909.48,143,81.4,0.47,139.0,42.4,11.7
250,740.0,296,39.8,1.43,46.3,29.65,65.5
250,1000.82,326,44.6,1.25,134.0,31.39,104.0
229,904.0,226,36.3,1.66,40.3,39.9,80.02
457,1224.0,360,42.6,1.92,47.0,30.64,177.0
200,750.0,250,84.2,0.93,137.0,53.0,140.3
250,1067.5,305,39.8,0.86,46.3,29.65,43.7
250,1000.82,326,50.0,0.87,39.0,33.23,70.5
279,904.0,226,36.3,1.81,40.3,39.9,87.67
150,490.6,223,44.9,1.28,45.0,31.49,44.7
200,600.75,225,40.5,0.25,145.0,29.91,36.1
229,913.92,224,36.3,2.27,40.3,28.32,41.3
150,625.0,250,36.2,0.55,94.0,94.0,59.0
150,693.0,210,39.8,1.31,45.0,45.0,49.0
200,750.0,250,33.4,1.61,29.0,31.0,100.0
203,896.0,224,79.6,2.56,40.3,46.1,96.52
150,770.0,220,30.0,0.44,25.1,25.74,23.35
200,1040.0,325,39.4,0.92,58.0,58.0,132.0
203,913.92,224,79.6,2.55,40.3,41.93,45.7
229,904.0,226,36.3,1.66,40.3,39.9,97.28
254,896.0,224,36.3,2.05,40.3,39.9,93.32
200,600.75,225,40.5,0.63,145.0,29.91,47.2
250,762.5,305,39.8,0.86,46.3,31.49,61.0
250,775.0,310,42.4,0.18,144.0,30.6,58.7
152,904.0,226,79.6,1.66,40.3,46.1,66.1
150,990.0,220,30.0,0.44,25.1,25.74,20.3
1000,999.54,162,40.0,0.86,40.0,29.73,113.0
203,913.5,225,79.6,1.24,40.3,41.93,30.4
150,625.0,250,30.5,2.11,94.0,94.0,86.0
229,896.0,224,36.3,2.27,40.3,39.9,82.64
250,1100.0,440,44.7,0.9,46.3,27.61,77.2
150,625.0,250,35.5,0.55,94.0,94.0,58.0
200,1040.0,325,39.4,0.92,58.0,58.0,83.0
150,665.39,263,27.8,0.86,32.0,27.41,25.0
250,727.5,291,88.3,0.89,46.3,44.16,80.2
305,711.0,158,27.0,0.73,40.0,24.42,29.2
250,1000.82,326,50.0,0.87,128.0,33.23,77.5
152,904.0,226,79.6,1.66,40.3,46.1,66.99
130,948.6,310,37.3,0.72,120.0,28.7,45.8
121,909.45,141,81.4,0.76,139.0,42.4,15.3
150,625.0,250,38.3,0.55,94.0,94.0,84.0
203,904.0,226,79.6,1.25,40.3,46.1,84.11
200,550.0,220,30.0,0.33,25.1,25.74,29.55
250,1085.0,434,37.4,1.47,46.3,28.74,92.2
300,1485.0,594,74.2,0.65,144.0,28.59,146.1
165,913.92,224,79.6,2.09,40.3,41.93,36.7
250,1097.5,439,42.4,0.65,144.0,30.6,82.5
229,913.5,225,36.3,1.66,40.3,28.32,48.6
254,913.92,224,36.3,2.05,40.3,28.32,51.0
200,1040.0,325,44.7,0.7,140.0,137.0,157.0
300,1460.0,584,37.4,0.91,46.3,31.42,103.7
150,697.0,170,25.4,1.54,46.0,46.0,33.4
150,550.0,220,30.0,0.44,25.1,25.74,23.9
279,904.0,226,36.3,1.81,40.3,39.9,92.21
130,948.6,310,37.3,0.72,120.0,28.7,49.2
127,909.48,143,60.3,0.33,139.0,36.5,12.9
165,913.92,224,79.6,2.09,40.3,41.93,38.4
150,750.0,250,34.3,2.27,105.0,39.0,116.0
200,600.75,225,40.5,0.88,145.0,29.91,42.7
200,1012.5,225,40.5,0.5,145.0,29.91,38.5
229,455.7,147,32.1,0.59,40.8,26.63,31.55
200,1040.0,325,44.4,0.7,137.0,40.0,103.0
250,1150.0,460,42.4,0.45,144.0,28.74,74.1
